x0,x1,x2,y
1,1.72,2.97,-1
1,2.43,2.09,-1
1,1.04,1.81,-1
1,2.79,1.61,-1
1,2.45,1.51,-1
1,1.47,2.19,-1
1,1.88,2.33,-1
1,1.7,1.51,-1
1,2.27,1.92,-1
1,2.5,1.63,-1
1,2.16,1.84,-1
1,2.29,2.12,-1
1,1.3,2.51,-1
1,1.75,1.42,-1
1,1.53,1.98,-1
1,2.46,2.11,-1
1,2.4,1.96,-1
1,1.68,3.43,-1
1,2.82,1.69,-1
1,1.33,1.78,-1
1,2.31,2.24,-1
1,2.32,2.22,-1
1,1.38,2.04,-1
1,1.21,2.07,-1
1,1.92,2.0,-1
1,1.67,1.76,-1
1,2.12,1.86,-1
1,2.25,1.36,-1
1,2.42,1.28,-1
1,1.54,2.23,-1
1,2.42,2.75,-1
1,1.43,2.54,-1
1,1.22,2.63,-1
1,2.53,1.88,-1
1,2.1,2.91,-1
1,1.59,1.8,-1
1,2.5,2.49,-1
1,1.89,2.34,-1
1,2.11,1.98,-1
1,1.55,2.05,-1
1,2.87,0.86,-1
1,2.56,1.6,-1
1,2.44,1.75,-1
1,1.41,2.03,-1
1,1.89,2.24,-1
1,1.97,2.11,-1
1,1.24,1.78,-1
1,1.39,1.3,-1
1,2.23,1.64,-1
1,1.77,2.39,-1
1,1.99,1.91,-1
1,1.55,1.53,-1
1,1.88,2.14,-1
1,2.28,2.48,-1
1,2.63,1.84,-1
1,2.02,1.87,-1
1,2.23,1.39,-1
1,2.2,2.03,-1
1,1.74,1.46,-1
1,2.1,2.11,-1
1,2.26,1.93,-1
1,2.19,1.09,-1
1,2.32,2.05,-1
1,2.26,2.08,-1
1,1.81,1.7,-1
1,2.22,2.11,-1
1,2.85,2.67,-1
1,2.13,1.93,-1
1,2.71,2.14,-1
1,1.4,1.87,-1
1,1.74,1.84,-1
1,2.39,2.79,-1
1,2.06,2.28,-1
1,1.98,2.28,-1
1,2.14,2.23,-1
1,2.53,1.35,-1
1,1.81,1.99,-1
1,2.59,1.94,-1
1,2.18,1.93,-1
1,1.35,1.87,-1
1,1.82,1.68,-1
1,1.51,2.09,-1
1,1.94,1.88,-1
1,1.15,2.78,-1
1,1.83,2.06,-1
1,2.09,1.73,-1
1,1.91,1.46,-1
1,2.33,1.71,-1
1,1.84,1.98,-1
1,2.03,1.82,-1
1,2.46,2.13,-1
1,2.24,2.66,-1
1,2.0,2.3,-1
1,2.07,1.26,-1
1,1.82,1.89,-1
1,2.27,1.96,-1
1,2.11,1.91,-1
1,1.87,1.85,-1
