x0,x1,x2,y
1,-0.98,-0.69,1
1,2.72,0.18,-1
1,2.29,0.84,-1
1,2.45,1.07,-1
1,0.43,0.86,-1
1,0.74,1.26,-1
1,-0.39,0.58,1
1,-0.46,-1.01,1
1,-0.0,1.4,-1
1,-0.21,1.92,-1
1,-1.73,-1.19,1
1,-1.28,0.2,1
1,1.04,0.72,-1
1,0.54,0.59,-1
1,-2.5,-1.14,1
1,2.38,1.41,-1
1,2.09,1.59,-1
1,-1.47,-0.99,1
1,2.54,2.5,-1
1,1.0,1.95,-1
1,0.94,3.4,-1
1,0.91,1.18,-1
1,-0.41,1.27,-1
1,1.23,0.8,-1
1,-1.25,-1.65,1
1,-2.89,-0.06,1
1,-0.61,-1.78,1
1,2.12,1.23,-1
1,1.16,1.26,-1
1,-1.28,-2.32,1
1,-2.14,-0.98,1
1,-0.55,-0.53,1
1,-0.02,-0.53,1
1,-1.07,-0.56,1
1,-0.98,-2.19,1
1,1.06,1.16,-1
1,-1.03,-2.8,1
1,1.28,0.77,-1
1,-1.39,-2.49,1
1,0.45,2.73,-1
1,1.46,1.81,-1
1,0.42,2.36,-1
1,-0.2,1.12,-1
1,-0.15,-1.26,1
1,0.75,-0.65,-1
1,-1.14,-0.53,1
1,1.4,0.06,-1
1,0.52,-1.18,1
1,0.3,1.54,-1
1,-1.05,1.38,-1
1,1.9,-0.1,-1
1,-1.19,-0.43,1
1,-0.1,-1.78,1
1,1.25,1.9,-1
1,1.16,2.04,-1
1,-1.92,-0.6,1
1,2.94,0.26,-1
1,-0.27,-0.32,1
1,-0.46,1.08,-1
1,1.41,0.38,-1
1,0.31,-1.08,1
1,-0.85,-2.19,1
1,-1.68,-0.17,1
1,-0.01,-1.34,1
1,-1.69,-1.61,1
1,2.74,1.76,-1
1,1.79,1.38,-1
1,-1.33,0.83,1
1,-0.36,-2.58,1
1,-0.99,-2.34,1
1,0.53,0.54,-1
1,-0.67,0.07,1
1,-1.63,0.26,1
1,0.49,-1.35,1
1,0.24,0.99,-1
1,-1.63,0.14,1
1,3.09,1.6,-1
1,-2.03,-1.42,1
1,2.79,3.02,-1
1,1.1,1.16,-1
1,-1.35,-1.49,1
1,1.13,-0.3,-1
1,-0.3,-2.54,1
1,-0.88,-0.32,1
1,1.83,1.67,-1
1,-1.93,-1.63,1
1,-1.74,-0.96,1
1,0.6,0.79,-1
1,-0.73,0.26,-1
1,-0.31,-1.24,1
1,-2.02,-0.38,1
1,0.69,2.66,-1
1,-1.54,-3.03,1
1,-0.32,-1.55,1
1,-0.64,-0.43,1
1,0.74,0.21,-1
1,-1.37,-1.87,1
1,0.41,-0.29,-1
1,-1.77,1.49,1
1,-2.41,-1.51,1
1,1.14,0.65,-1
1,-0.09,3.42,-1
1,2.59,-0.1,-1
1,0.19,1.49,-1
1,2.74,1.41,-1
1,-2.21,1.28,-1
1,0.43,-1.58,1
1,-1.46,-1.51,1
1,1.8,0.95,-1
1,-1.3,-1.44,1
1,1.58,-0.23,-1
1,1.94,1.48,-1
1,-1.96,-0.94,1
1,-1.84,-0.94,1
1,1.26,0.46,-1
1,0.16,-0.95,1
1,0.02,-0.51,1
1,-1.59,-0.82,1
1,-3.38,-0.11,1
1,1.91,1.68,-1
1,-0.74,-0.34,1
1,1.62,0.81,-1
1,1.11,0.19,-1
1,-0.58,-1.15,1
1,0.48,-1.01,1
1,2.45,-0.87,-1
1,1.14,0.44,-1
1,0.77,1.86,-1
1,4.11,-0.04,-1
1,0.39,1.06,-1
1,0.39,-2.18,1
1,0.06,1.08,-1
1,0.91,0.89,-1
1,-0.34,-0.77,1
1,0.35,-0.87,1
1,-0.92,-0.04,1
1,1.86,2.81,-1
1,0.18,-1.08,1
1,0.41,-0.29,-1
1,0.4,-0.75,-1
1,0.68,1.02,-1
1,-1.03,-0.71,1
1,-0.81,0.43,1
1,-0.95,-0.29,1
1,1.41,1.02,-1
1,0.26,0.18,-1
1,-1.76,0.75,1
1,-2.04,-1.86,1
1,-2.76,-2.21,1
1,-0.37,-1.37,1
1,1.05,1.83,-1
1,-0.26,-1.31,-1
1,1.72,0.88,-1
1,0.78,1.7,-1
1,-2.24,-0.95,1
1,-0.03,-1.19,1
1,-0.34,-1.1,1
1,-0.81,-2.05,1
1,-1.73,-2.12,1
1,-1.66,0.22,-1
1,-2.18,-0.15,1
1,-2.17,-2.41,1
1,-0.49,-0.67,1
1,-0.66,-0.19,-1
1,-1.48,-0.92,1
1,-0.18,0.32,-1
1,1.4,2.24,-1
1,1.0,0.85,-1
1,2.05,-0.28,-1
1,-1.09,-1.85,1
1,-1.59,0.22,1
1,1.6,-2.09,1
1,-0.11,-0.93,-1
1,-0.45,-2.67,1
1,-1.24,-0.74,1
1,0.5,1.07,-1
1,0.28,-0.68,1
1,-1.04,-1.16,1
1,0.7,0.52,-1
1,1.85,-0.69,-1
1,-0.94,-1.5,1
1,-1.34,-1.51,1
1,1.45,1.59,-1
1,0.13,-0.49,1
1,-1.02,-1.06,1
1,-1.52,-0.68,1
1,-1.33,-2.73,1
1,0.06,1.42,-1
1,0.99,0.77,-1
1,0.87,1.6,-1
1,0.31,0.3,-1
1,-0.33,-0.01,1
1,0.98,1.97,-1
1,-1.24,-1.75,1
1,1.66,0.21,-1
1,1.51,0.16,-1
1,-1.08,-0.4,1
1,0.35,0.6,-1
1,-0.11,-0.55,1
1,2.22,1.77,-1
